name,start,end,concert
Frühjahrsvolksfest,2022-04-07 14:00:00,2022-04-07 23:00:00,0
Frühjahrsvolksfest,2022-04-08 14:00:00,2022-04-08 23:59:59,0
Frühjahrsvolksfest,2022-04-09 14:00:00,2022-04-09 23:59:59,0
Frühjahrsvolksfest,2022-04-10 12:00:00,2022-04-10 22:30:00,0
Frühjahrsvolksfest,2022-04-11 14:00:00,2022-04-11 23:00:00,0
Frühjahrsvolksfest,2022-04-12 14:00:00,2022-04-12 23:00:00,0
Residenzlauf,2022-05-01 10:30:00,2022-05-01 17:00:00,0
Mozartfest,2022-05-20 00:00:00,2022-05-20 23:59:00,0
Mozartfest,2022-05-21 00:00:00,2022-05-21 23:59:00,0
Mozartfest,2022-05-22 00:00:00,2022-05-22 23:59:00,0
Mozartfest,2022-05-23 00:00:00,2022-05-23 23:59:00,0
Mozartfest,2022-05-24 00:00:00,2022-05-24 23:59:00,0
Mozartfest,2022-05-25 00:00:00,2022-05-25 23:59:00,0
Weindorf,2022-05-25 11:00:00,2022-05-25 23:59:59,0
Mozartfest,2022-05-26 00:00:00,2022-05-26 23:59:00,0
Afrika Festival,2022-05-26 11:00:00,2022-05-26 23:59:59,0
Weindorf,2022-05-26 11:00:00,2022-05-26 23:59:59,0
Mozartfest,2022-05-27 00:00:00,2022-05-27 23:59:00,0
Afrika Festival,2022-05-27 11:00:00,2022-05-27 23:59:59,0
Weindorf,2022-05-27 11:00:00,2022-05-27 23:59:59,0
Mozartfest,2022-05-28 00:00:00,2022-05-28 23:59:00,0
Afrika Festival,2022-05-28 11:00:00,2022-05-28 23:59:59,0
Weindorf,2022-05-28 11:00:00,2022-05-28 23:59:59,0
Mozartfest,2022-05-29 00:00:00,2022-05-29 23:59:00,0
Afrika Festival,2022-05-29 11:00:00,2022-05-29 23:59:59,0
Weindorf,2022-05-29 11:00:00,2022-05-29 23:59:59,0
Mozartfest,2022-05-30 00:00:00,2022-05-30 23:59:00,0
Weindorf,2022-05-30 11:00:00,2022-05-30 23:59:59,0
Mozartfest,2022-05-31 00:00:00,2022-05-31 23:59:00,0
Weindorf,2022-05-31 11:00:00,2022-05-31 23:59:59,0
Mozartfest,2022-06-01 00:00:00,2022-06-01 23:59:00,0
Weindorf,2022-06-01 11:00:00,2022-06-01 23:59:59,0
Mozartfest,2022-06-02 00:00:00,2022-06-02 23:59:00,0
Weindorf,2022-06-02 11:00:00,2022-06-02 23:59:59,0
Mozartfest,2022-06-03 00:00:00,2022-06-03 23:59:00,0
Weindorf,2022-06-03 11:00:00,2022-06-03 23:59:59,0
Mozartfest,2022-06-04 00:00:00,2022-06-04 23:59:00,0
Weindorf,2022-06-04 11:00:00,2022-06-04 23:59:59,0
Mozartfest,2022-06-05 00:00:00,2022-06-05 23:59:00,0
Weindorf,2022-06-05 11:00:00,2022-06-05 23:59:59,0
Mozartfest,2022-06-06 00:00:00,2022-06-06 23:59:00,0
Weindorf,2022-06-06 11:00:00,2022-06-06 23:59:59,0
Mozartfest,2022-06-07 00:00:00,2022-06-07 23:59:00,0
Mozartfest,2022-06-08 00:00:00,2022-06-08 23:59:00,0
Mozartfest,2022-06-09 00:00:00,2022-06-09 23:59:00,0
Mozartfest,2022-06-10 00:00:00,2022-06-10 23:59:00,0
Mozartfest,2022-06-11 00:00:00,2022-06-11 23:59:00,0
Mozartfest,2022-06-12 00:00:00,2022-06-12 23:59:00,0
Mozartfest,2022-06-13 00:00:00,2022-06-13 23:59:00,0
Mozartfest,2022-06-14 00:00:00,2022-06-14 23:59:00,0
Mozartfest,2022-06-15 00:00:00,2022-06-15 23:59:00,0
Mozartfest,2022-06-16 00:00:00,2022-06-16 23:59:00,0
Umsonst & Draußen,2022-06-16 16:30:00,2022-06-16 22:00:00,0
Mozartfest,2022-06-17 00:00:00,2022-06-17 23:59:00,0
Umsonst & Draußen,2022-06-17 16:30:00,2022-06-17 22:00:00,0
Mozartfest,2022-06-18 00:00:00,2022-06-18 23:59:00,0
Umsonst & Draußen,2022-06-18 12:30:00,2022-06-18 22:00:00,0
